# ------------------------------------------------------------------------
# Radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2018, 2022)
# Synthesized on Tue May 13 20:48:18 2025
# Doppler velocities [km/s] (vobs,vrot+vorb,vwidth,vrfl,vstr): 22.08700,-0.00000,8.67000,-0.44364,0.00000
# ------------------------------------------------------------------------
# Spectra synthesized with the Planetary and Universal Model of Atmospheric Scattering (PUMAS, Villanueva et al. 2018, 2022)
# Multiple scattering method employing PSGDORT, NMAX:2 / LMAX:60 / gMAX:0.95
# Radiative transfer took 5.580 seconds
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Spectral irradiance [Jy]
# Wave/freq Total Jupiter
7.286384756e+00  9.0560439e+02  9.05604e+02
7.359248603e+00  2.3708183e+03  2.37082e+03
7.432841089e+00  4.1942377e+03  4.19424e+03
7.507169500e+00  4.6522743e+03  4.65227e+03
7.582241195e+00  2.5868766e+03  2.58688e+03
7.658063607e+00  8.1381085e+03  8.13811e+03
7.734644243e+00  6.4257425e+03  6.42574e+03
7.811990686e+00  6.0073631e+03  6.00736e+03
7.890110592e+00  6.3071499e+03  6.30715e+03
7.969011698e+00  4.0825193e+03  4.08252e+03
8.048701815e+00  3.2995029e+03  3.29950e+03
8.129188834e+00  1.9886017e+03  1.98860e+03
8.210480722e+00  1.6649399e+03  1.66494e+03
8.292585529e+00  1.6690959e+03  1.66910e+03
8.375511384e+00  1.4978657e+03  1.49787e+03
8.459266498e+00  1.4724286e+03  1.47243e+03
8.543859163e+00  1.6050189e+03  1.60502e+03
8.629297755e+00  1.9471062e+03  1.94711e+03
8.715590732e+00  1.7898619e+03  1.78986e+03
8.802746640e+00  1.8976489e+03  1.89765e+03
8.890774106e+00  2.0206915e+03  2.02069e+03
8.979681847e+00  2.1792993e+03  2.17930e+03
9.069478666e+00  2.3603686e+03  2.36037e+03
9.160173452e+00  2.5521653e+03  2.55217e+03
9.251775187e+00  2.7653252e+03  2.76533e+03
9.344292939e+00  3.0201546e+03  3.02015e+03
9.437735868e+00  3.3029850e+03  3.30298e+03
9.532113227e+00  3.6144742e+03  3.61447e+03
9.627434359e+00  3.9571807e+03  3.95718e+03
9.723708703e+00  4.3273163e+03  4.32732e+03
9.820945790e+00  4.7296961e+03  4.72970e+03
9.919155248e+00  5.1569875e+03  5.15699e+03
1.001834680e+01  5.6072680e+03  5.60727e+03
1.011853027e+01  6.0536529e+03  6.05365e+03
1.021971557e+01  6.5362330e+03  6.53623e+03
1.032191273e+01  7.0494528e+03  7.04945e+03
1.042513185e+01  7.6019333e+03  7.60193e+03
1.052938317e+01  8.1749642e+03  8.17496e+03
1.063467700e+01  8.7820100e+03  8.78201e+03
1.074102377e+01  9.4164806e+03  9.41648e+03
1.084843401e+01  1.0108396e+04  1.01084e+04
1.095691835e+01  1.0827221e+04  1.08272e+04
1.106648754e+01  1.1579418e+04  1.15794e+04
1.117715241e+01  1.2373353e+04  1.23734e+04
1.128892393e+01  1.3200144e+04  1.32001e+04
1.140181317e+01  1.4074748e+04  1.40747e+04
1.151583131e+01  1.4996415e+04  1.49964e+04
1.163098962e+01  1.5958948e+04  1.59589e+04
1.174729952e+01  1.6975546e+04  1.69755e+04
1.186477251e+01  1.8044155e+04  1.80442e+04
1.198342024e+01  1.9173927e+04  1.91739e+04
